,PatientID,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
0,LUNG1-001,4634.775637892424,0.10804237181895981,76.02105010284295,1527.4556012922242,2.140272417565903,3549.079468139965,0.00513993091214115,0.002915079149375487,4.919490495125955,29045.89376861775,0.6743779478059969,0.78327962416251,0.48423276992154557,0.8463335539053323,1257.2509016786025,0.002581234480049444
1,LUNG1-002,9702.761573776852,0.1023294323676933,103.14368935250107,1586.2986552842117,2.3575488451461215,4093.9160448518205,0.0025552224121121025,0.0015269587492258536,5.115428390341925,60917.80686293752,0.6401571365997037,0.754832241867317,0.5849341390026171,0.8267833687708337,1270.8957304625887,0.0013741550603380533
2,LUNG1-003,630.9738592281202,0.05866359717635754,103.42747009120863,1315.398899546915,1.4674041960147313,2085.900129446187,0.002014614835725893,0.0016184356068408901,5.221830606115899,8706.248409569773,0.8081313027284546,0.8841630447848063,0.18307404257373283,0.9173884862950834,1181.6548568225094,0.0015428898764293943
3,LUNG1-004,2144.901759627814,0.08665362944242484,48.814898882356,1503.057764341285,1.7395953708125984,2743.0285232585293,0.001783335873312905,0.0012555824946341146,4.88224841196562,18439.119963125293,0.7423987785115597,0.8375498015754104,0.30007816464865755,0.8839161062910338,1310.662506251611,0.0011656725600085334
4,LUNG1-005,2205.907740008166,0.09171600053298336,64.89021526655009,1753.2081701391364,1.8040298915182287,3299.2498400480517,0.0020446513188661624,0.0014551499014054325,4.88317354999757,17391.783330594113,0.720767540260356,0.8241441859484085,0.3207802955321174,0.8728430288851511,1510.1729131412942,0.001363792795950723
5,LUNG1-006,956.9035507189017,0.039031261687265256,184.769837352608,1307.9419782082539,1.426614142603429,2080.9929530819786,0.011490241521068433,0.008470427117325449,5.675003028800033,20299.951999144454,0.8267767813969785,0.8949822018028759,0.17084724242530833,0.9260179670126374,1177.3539059454868,0.007963609359330874
6,LUNG1-007,224.37413880426206,0.06059304461664645,57.47970149558437,909.7680652331868,1.8587323744867725,1951.3878446774443,0.002929887100564857,0.002169658529080454,5.08942793661501,2860.6686485193777,0.7723795568309751,0.8419967941378521,0.41500906506494684,0.8982085682953067,788.4328947515316,0.0020737237509639663
7,LUNG1-008,989.2694366933504,0.08289007051462545,97.68541822739869,1385.1536207635372,1.7404357458605757,2656.6105418654092,0.0023789278924754346,0.0018583051177257894,5.055797978652241,8871.604020164312,0.7423243756241936,0.8357353828906521,0.302730127206998,0.8844678044819295,1189.095123968549,0.0017692764712401387
8,LUNG1-009,2776.6775280404954,0.09379657210047697,50.239501783804485,1738.9111043601852,1.587874396598262,2865.4396817218094,0.004953665448756752,0.00248996147331423,4.673270521961106,22728.244341818146,0.7658321521200915,0.8590439608294159,0.22480928483896814,0.8965736202355399,1541.7780226786074,0.002120110361181941
9,LUNG1-010,405.80546819522783,0.08461793679958461,83.12932005974729,1572.5206814419269,1.638168230179273,2690.8225655002607,0.026453631029335657,0.010023953813792813,4.903341993548819,3637.5893081702516,0.7562342194910017,0.8507686846344994,0.24676379147575922,0.8914334381674535,1382.5571553509535,0.0074989740041118726
10,LUNG1-011,924.5841248709273,0.03660712857967356,113.84622477516157,1200.8051630286527,1.3545849046093958,1726.8858252689074,0.0022092706484023216,0.001737242755530227,5.522759487325718,21139.85029226825,0.835146655199607,0.9056739114841117,0.13001257213786804,0.9302874257125062,1100.0851837882162,0.0016376559261494276
11,LUNG1-012,4959.847390451874,0.0646539509447087,121.28919424476436,1412.4416238017818,1.6711862762641516,2577.487620933646,0.0021656984471328414,0.001603820820761255,5.355628767304074,57906.410900449504,0.7535337948131201,0.8463440312446936,0.2689897931373334,0.8903318453654369,1226.210563384466,0.0015012819088431283
12,LUNG1-013,492.0177419242825,0.11659788341793732,47.49326454518313,1580.2154296836454,1.7540621402393675,2864.6131848290834,0.0029281629552200075,0.002213365900204783,4.51578849597215,3044.8092436857937,0.7188147864659373,0.8287221819061443,0.28423158421173494,0.8716485390507415,1362.5622882521636,0.002081781431728184
13,LUNG1-015,79.12994270980847,0.055138691613133436,96.9496804352476,1024.0358137512142,1.6210887261359301,1973.6755075363105,0.004909658880452881,0.00445655622297648,5.158202777023503,1160.0073958303828,0.8101875215352522,0.872766597705473,0.29458735957188054,0.9178117546555727,901.5372930393876,0.004390010669098324
14,LUNG1-016,2843.390383376567,0.08491893508906692,59.654019726170404,1479.7912377660027,1.6778858914601746,2606.00179429215,0.0016897047154824524,0.0011972621439406438,4.91590862369496,24938.49151320717,0.7426046893091157,0.8426630629444554,0.26104338362087287,0.8845477104792662,1289.4715686354984,0.0011083478293976733
15,LUNG1-017,5463.30695368545,0.0824471917044775,78.00560843298003,1644.3364366134847,1.6849279535781403,2942.7245730471277,0.0021997080729976295,0.0015366025211954733,5.019293293833733,49544.864024837494,0.745819466830626,0.8430323924258728,0.2690845281695665,0.8862478643725582,1431.021966684025,0.0014159131077044727
16,LUNG1-018,3596.956393555269,0.09213360717813793,97.66568906699,1477.0050199147663,2.285817195510281,3652.4254487730973,0.0029141316536149525,0.0018819394316989884,5.184235144952966,25350.321352825777,0.64691268761017,0.7630079208099639,0.5472825480709272,0.830793365852402,1193.2858344187075,0.0017239819267340312
17,LUNG1-019,7202.339017581967,0.17329289389935454,31.878647373591612,1583.3433646991111,2.592753069082554,4340.238473875851,0.002140362369152645,0.0011198504441833396,4.335436386186635,25471.54166644922,0.6107661153808956,0.7305457589104326,0.6946988806659277,0.8088399486878503,1254.577194168604,0.000988006812402834
18,LUNG1-020,1102.7510901765577,0.04175128581622953,190.699213527557,1226.8443542321907,1.671735573645018,2458.488888846866,0.007018230760228885,0.005619902254884123,5.740051799494027,20600.555132586083,0.779379717470992,0.8547474052239663,0.2945581903540324,0.9028258830054904,1055.209050112003,0.005362220406801191
19,LUNG1-022,1422.0751834233442,0.04303612518319939,179.68961763950708,1270.602401540927,1.637617853889474,2384.339825365455,0.0042645312706585635,0.003222214812586839,5.7243312433826326,25628.842949191105,0.7744917394007982,0.8562034256756085,0.2663523916852476,0.900635179895677,1103.451654900332,0.003019323933538432
20,LUNG1-023,28897.2344523755,0.17382488186630535,35.5320803503502,1795.6688890178532,2.6216292647813244,4865.405740116472,0.0017442711897317333,0.0008139413758238225,4.384868841157405,98253.25719441954,0.5897956598680817,0.7198228054690493,0.68296507778935,0.7961668026613162,1410.3306061947333,0.0006937761716509696
21,LUNG1-024,372.730705128613,0.05508784792630954,106.78788495763098,1047.020945846377,1.5037605381710888,1763.0772059819674,0.0034965217778112094,0.0029540717503251284,5.289554416358761,5428.210956559853,0.8015678468714348,0.877440022354397,0.20155689638128088,0.9143216431175317,927.3958419955345,0.0028517590925223233
22,LUNG1-025,2012.5761843413043,0.06676054946065776,161.12422072673584,1756.6374686907552,1.9962895046020048,3580.192345546963,0.0022853195730549764,0.0014863834217056766,5.661351337670254,21851.866299475307,0.7237954064969533,0.8137479007765298,0.4483776274453006,0.8730040706015181,1527.0182225203082,0.0013638236827603148
23,LUNG1-026,6087.844274641072,0.12057239855805996,29.84465829117759,1853.8875971967004,2.289210663840589,4432.570315667822,0.001482076392631637,0.0007993088289902741,4.601092627628827,33348.16844705933,0.6562512184405054,0.7672245586395223,0.5581990553787934,0.8354656224511674,1526.4640042078865,0.0007085468287443713
24,LUNG1-027,9.690144418451435,0.0356630285020031,238.92757986426798,820.1267816007398,1.2734909046599538,1000.404656138906,0.20243319452036498,0.09614980565584409,5.3563633627550455,241.53054062629374,0.8851052547785195,0.9344827586206896,0.1070475862040196,0.9511885807217565,784.8124816572338,0.08041507645885165
25,LUNG1-028,374.90061479942364,0.04937504825225148,143.4757611864313,1241.54619326844,1.8700172976351341,2806.657749861707,0.0034434873592411783,0.00268489563638066,5.552015809234394,5774.602389470084,0.7606969854314769,0.83432148681707,0.412717422428839,0.8927973461072093,1056.226776507488,0.0025644301101498453
26,LUNG1-029,1297.0931970473519,0.10550374588277939,42.99013719466689,1166.417325720606,2.397173071674753,3051.6600042875443,0.002422793517821313,0.0013574055959964621,4.91003163589001,7868.267097558163,0.6376808472705752,0.7537192977473576,0.6013173371067478,0.8248950892881782,931.1561385795156,0.0012211458888566648
27,LUNG1-030,2039.7136584376167,0.08957924941137375,92.5047374120056,1628.4271243890873,1.987292417896306,3427.1539520450906,0.018375903993134025,0.0063722346928078485,5.069081263542188,16345.71095114629,0.7134719858086542,0.8115142129685761,0.4242130566533211,0.8669302702402445,1387.4456135679952,0.00511608596654392
28,LUNG1-031,1181.4321618960553,0.09275230982319946,81.20644398946408,1477.505140279111,2.0431568990173763,3353.6744325628315,0.006102725173078616,0.0034331477527589013,5.031534868411214,9108.665887818874,0.7138964965175278,0.803491281532036,0.47450233846325046,0.868329768924879,1244.5790256773075,0.0030623358148791284
29,LUNG1-032,3747.7440333001414,0.20515476730906843,42.14845856193373,1686.3205957777172,5.906537310530281,10590.058860153278,0.00803047100858524,0.003445735169541391,4.637216237680983,8838.339772254198,0.478256887372295,0.5713677364407107,2.6753690317762246,0.7158604122047966,1172.662942900113,0.0030400044059213007
30,LUNG1-033,3860.7960957903174,0.09165864028479892,83.11016749417311,1769.872454498945,2.329887586155649,4278.01265016132,0.006931089135270834,0.003590218799414355,5.223626281965967,27983.60756604078,0.6613230704526954,0.765965530632817,0.5950980500325178,0.8386658160672142,1465.8109262822124,0.0032640054831615155
31,LUNG1-034,2969.6963336719564,0.11608864902730545,23.86657387348001,1529.3484234209004,2.9272519517070346,4751.759223816669,0.0019324174871677062,0.0007704283996774089,4.8115309060771505,15393.097972391299,0.5976827671234377,0.7113157030258658,0.8902705819493446,0.7995307785598916,1196.2046109235855,0.0006480380898111056
32,LUNG1-035,2652.2360937656954,0.08302446360489499,85.39248442600805,1154.9346271041961,2.1511188745263508,2817.761522872405,0.0035085461511028867,0.0024002857989314365,5.167776816227756,22096.323650148996,0.6893830691498111,0.7876116464220829,0.5116976998068605,0.8546657007353381,948.5215740623086,0.0022383049663037627
33,LUNG1-036,1640.675362374036,0.1455652394255334,85.34075000570864,1674.302872489642,2.7872733991338543,5040.7641452357,0.005341062884872493,0.0031650557280044353,4.71930001838805,6901.595233206714,0.6086906394059795,0.7223250061835272,0.8155454425728483,0.8068605319832813,1313.9618490671587,0.002846820190970439
34,LUNG1-037,84.24037720361694,0.0366402024605009,160.22370473942127,1101.610996189565,1.3583984162547753,1651.418861759705,0.004949618123931697,0.004255866356118413,5.580998188219583,1959.5175446286742,0.8512929765238704,0.9103174603174602,0.14265419995593437,0.9371036807066707,1008.2707202950169,0.004112092272602997
35,LUNG1-038,3056.7556858848716,0.097592513038121,65.07131686659753,1605.585869435643,2.526878062263957,4455.024412343884,0.001971389928524587,0.0010769608480114324,5.123825017363844,20242.57968704243,0.6446072628971016,0.7467313621913617,0.7083092299765839,0.8291593911306685,1289.9728298773944,0.0009663859376535916
36,LUNG1-039,80.36597009319341,0.041687150742530696,124.37267767761692,954.954325479118,1.4501219657129854,1647.0886976996048,0.0050974215949729194,0.004554236164877432,5.378428326173667,1620.4518483190918,0.8399706140018816,0.8953717292479507,0.19544896905837636,0.9314841474206509,853.3535321042119,0.004454579197148192
37,LUNG1-040,9596.43137709575,0.14229234055694456,53.87391105970273,1315.3454006931456,2.8889705985175853,4120.558197741656,0.002715160122747474,0.0013545370758820076,4.761582572438249,39574.58114139472,0.5839529285404421,0.7043535024012838,0.8446974587282321,0.791559184561118,1006.6558307377819,0.0011952655423869162
38,LUNG1-041,2269.6222976982,0.1898098398659148,18.03207878922035,1109.2810291052335,3.8604204633346266,4600.6429708812075,0.0035938765761926107,0.0012231057596137633,4.236059246519764,6710.020281889189,0.5601267696087159,0.650272377451083,1.4781728601922963,0.7762343447448378,837.7628829283059,0.0010321106418896718
39,LUNG1-042,6388.056063522188,0.14548036436602518,33.50472150186817,1675.3440971618636,2.5912182715617584,4509.7557612100445,0.0016888895760852679,0.0007750868129247582,4.57285604066623,26723.945763180705,0.6064834513799119,0.7287091789167166,0.690630025181665,0.8063484271750294,1330.3662230744417,0.0006617463205506415
40,LUNG1-043,4849.734245560243,0.08226852728918549,63.835649077659575,1274.451438434673,2.573475080242593,3642.240763437714,0.0026096146704660955,0.001439703802598521,5.285712095674469,37856.76653803869,0.6404807194690906,0.7429324226084726,0.7360638507448193,0.8267255266397157,1017.5120798745708,0.0012954469834907942
41,LUNG1-044,2718.823865714435,0.08265178575459359,70.50180313286593,1552.4919197654697,2.290479327997736,3962.6170042102826,0.0018464360765776003,0.0010880628730289314,5.197722810506481,22244.45426324092,0.6742406217595671,0.7749940800378876,0.5860602892259729,0.8459945850633476,1269.7596993647817,0.000989063480995344
42,LUNG1-045,732.2244845268223,0.13141925362171014,25.066167605743868,881.8898297520135,2.2409552043771495,2033.5834262747996,0.003164481895226708,0.0018052919276080554,4.58422969336308,3766.8962128613866,0.6726633068118297,0.7786285133396057,0.5387767781788529,0.8443832563156417,738.262827392599,0.001632390894584617
43,LUNG1-046,2935.9426177252494,0.08958652765246988,72.64326072585087,1627.7254158511762,2.4500382930102207,4379.8536555888895,0.0019138979188583216,0.0010925506545607668,5.199379433985409,21391.898393807467,0.6490846944487405,0.7548581032344717,0.6561669627963511,0.8311701674284097,1310.4739108906929,0.0009898740407177956
44,LUNG1-047,1063.5704741334343,0.07378171130148187,93.48130416066229,1218.2273324403625,1.8226126847156034,2543.1799762023843,0.0024123716447052193,0.00179565595074799,5.1605521969627155,10712.140358644816,0.7421659044354778,0.8287705502348915,0.3588082843221694,0.883924010666881,1035.4380777660383,0.001699691897776587
45,LUNG1-048,980.2380674725014,0.06669298075809366,119.92736991352673,1872.8001381161632,1.9298218629012083,3583.551396377927,0.002193191996392808,0.0015356780038385562,5.5719050928126155,10764.32207789833,0.7306345713067912,0.8208573145893963,0.40950544425337587,0.8766097885706869,1643.8763041743894,0.0014339770658949658
46,LUNG1-049,35.998860535471664,0.04137886075566272,86.929581009778,1101.8595663234212,1.2263850481109464,1460.8593194445752,0.0034071797916983516,0.0032273800485687646,5.1757994516446635,772.1521341953716,0.887083991986273,0.9372666168782671,0.08379761147718887,0.9538503509691073,1029.9300137221405,0.003188686706058335
47,LUNG1-050,73.88183175422823,0.0380901250910666,66.3973457904934,407.91352610904,1.3193186711686822,497.9637188952765,0.012138560612999363,0.009311809071436406,5.347968373133331,1685.9238796099778,0.8627012287322222,0.9205189110177232,0.11815530531833897,0.9406153082096369,390.0153998249315,0.008773742208751264
48,LUNG1-051,2677.5115798248585,0.11958681505857098,67.40324552598916,1582.4338929617966,2.9921987787790507,5172.864009308688,0.0024273044388214366,0.0012615571395969037,4.9983828409301445,13678.214429332425,0.6073005779096852,0.7086120666520286,0.9560327968891792,0.8057198510000089,1232.8270171675724,0.0011417972334850774
49,LUNG1-052,2317.8985244018886,0.0650228901659962,71.64021511721964,1396.4882925421657,1.6652464905077038,2541.2918550582285,0.002192149762962756,0.001595650704807967,5.119201917321822,27415.896865652005,0.7677953224024361,0.85199161039869,0.28066324841175755,0.8973474643898949,1224.7016533807569,0.001491035613965727
50,LUNG1-053,2978.621086907638,0.14307947614096578,49.423197854524524,884.1618197408295,2.5365544731525125,2259.5168833578055,0.003757609766797236,0.001958846332132664,4.721482403593746,13115.145440878703,0.6289136969577483,0.7385570950788343,0.694238908127443,0.8204008130149695,724.5013870278635,0.0017384829333475732
51,LUNG1-054,1609.0699451044811,0.0969288049411794,111.12702429467309,1315.1990592192424,2.3956551735079286,3721.937152678496,0.003853061403303918,0.002730086254501473,5.095242402682531,11471.712768041076,0.6912199277021251,0.7735090792442494,0.6954972051247373,0.8556004293117033,1071.4156995598896,0.002577255629484372
52,LUNG1-055,1393.8890718982007,0.11644246908139516,38.403158172128954,1085.6661836855508,2.407983264504688,2848.9872487694543,0.002660529473530975,0.0014956264729637599,4.769713111239888,7757.404564895751,0.645110015451706,0.7537937592175735,0.621621930328513,0.8292592382194137,874.3486881761553,0.001348973961684411
53,LUNG1-056,6712.857773013418,0.22174486540834243,20.73883547426256,1460.6686383419258,3.403016991834769,5206.30512284483,0.002415420359088549,0.0008643745672699268,4.152132277966947,16224.639899828595,0.534099441135258,0.6615552845186526,1.0934434907705333,0.7585451992564928,1087.0516017889788,0.0007062488706797549
54,LUNG1-057,2685.437447766821,0.15151919936129443,28.380138300540757,1057.156984384715,2.283027614004791,2563.9329219578312,0.0025169307663404643,0.0013784080815777418,4.359794465730645,11428.708898827572,0.6436330452874581,0.760419658449786,0.5453579163539846,0.8294748338011845,858.4224590044731,0.0012221349471850762
55,LUNG1-058,1117.2198326750492,0.0294159698317829,168.5536035803839,1073.385573249801,1.5294716431054967,1990.7928802012298,0.010519255734108897,0.006928411809340149,5.830208560657406,31462.168418165278,0.8276361397990499,0.8848360876352477,0.24582100086380812,0.925999684858846,956.6856509728575,0.006306906428512023
56,LUNG1-059,937.2974247144837,0.08800663528554485,69.26427535747743,1737.0720012467596,2.129846642528342,3955.1387309145703,0.0026604928285922026,0.0017090233671925874,5.032019775794049,7478.899325400732,0.6966230125315034,0.7972627959080884,0.49669715807448134,0.8574163970585563,1458.8197474557414,0.0015564977763960325
57,LUNG1-060,8180.7978849647825,0.15592418570909464,34.36473413228108,1487.7006574656143,2.2534522208350785,3537.3998221816414,0.0016845721771588352,0.0008935930283006632,4.380637420711965,33756.58514048913,0.6421830553029154,0.76180714209906,0.5228157275749679,0.8286415030999771,1209.833350221174,0.0007824291998773432
58,LUNG1-061,62.3235464842415,0.02910205136699416,101.84974618441554,793.6796971487286,1.1637216399309804,977.5428319025842,0.005387060437586416,0.004837932741467016,5.450389293949014,1961.1031671468986,0.914174061498607,0.9529971586046352,0.0589273972524141,0.9652952343586461,755.9193192710029,0.004713992915047852
59,LUNG1-062,112.74494911396154,0.1113159204463491,22.388822955265457,691.4093255569495,1.8395461053037812,1361.8403884914658,0.004532700359518623,0.0034582204968229926,4.355865317805455,761.2858923125677,0.7467967036922077,0.8341186958736627,0.35680826427110457,0.8843633771739986,599.5927047953934,0.00330789415712775
60,LUNG1-063,538.5182202677804,0.18148433731348634,30.923304840267562,1558.4850740773245,2.500757057618677,4075.872037668926,0.0025301927840092877,0.0016141418431292766,4.155973608783349,1853.4281148381515,0.6211027844597223,0.7401611135677619,0.641692289090327,0.8145163291256599,1248.1110362750458,0.0014980912623909378
61,LUNG1-064,544.9802883711262,0.10948881586145079,54.98116788185288,1221.292629749328,2.536511184936317,3505.6541826964426,0.0026814496204691854,0.0016190225841507247,4.882041024116622,3290.117650807262,0.6602506535659376,0.7550053492281829,0.7308323351632047,0.8376651784115873,982.1825107804287,0.0015023142641197166
62,LUNG1-065,12168.54775836951,0.20466094447493288,4.867202233932078,1828.3037074468737,3.6279114060729567,6665.089455171523,0.002014548498878997,0.0005824741348797063,4.077636364463102,30234.042130950962,0.5027740176995449,0.6435605723121556,1.142961169953362,0.733714001381859,1337.1120447006801,0.0004374968498323343
63,LUNG1-066,347.4610429742516,0.06315324860523776,78.166251326697,897.8958615739468,1.9214395334657977,2006.0136681422919,0.004488046592325479,0.0033763175597646957,5.3014266107851,4100.371994437737,0.74473334058561,0.8237974624984099,0.42808376790150005,0.8845750372157491,763.476440697546,0.003200926029766437
64,LUNG1-067,1003.5743933426061,0.11924778915103532,27.396538978437977,852.5836347590715,2.3851272014093845,2225.290962752296,0.0033822749962896,0.0019051250920371103,4.6255702563969825,5471.8314526154845,0.6471154949216403,0.757349979863069,0.6057613452023427,0.8301632504420741,686.0536808027719,0.0017143993174684072
65,LUNG1-068,875.5218280744886,0.03613913257102042,101.6001384074974,804.4536515981332,1.4876000500409094,1369.7115166340309,0.004962579971902367,0.003895048885285382,5.535306013673009,19951.314981409043,0.8208174922791938,0.8878680415165513,0.20545582763001266,0.9224639073833975,720.3769519847722,0.003693950129423097
66,LUNG1-069,9733.43021586002,0.13051889136010913,30.28548653547982,1912.0010493036377,3.2063634053284535,6105.82073046916,0.0019094388651258736,0.0007178362074812439,4.824423869811268,42456.22133783639,0.5640336252497303,0.6862939398951284,1.0096445320807033,0.7773850310069332,1486.57890599203,0.0005958399043448037
67,LUNG1-070,672.7157081060097,0.10684971010449623,75.39733036369464,1187.012109482509,2.1994386769665115,2943.3622614461206,0.004342135146533032,0.0031606395743727757,4.91401168349529,4296.021010667373,0.6815639684401548,0.7810614043490756,0.5364982361877701,0.850726141589763,971.3857808682353,0.0029714136142541575
