,PatientID,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares
0,LUNG1-001,1602.2833821868064,449739.06234163605,-7644.624451409735,194.15003052387723,34.84553655237845,0.6887727215600313,3.1104283571688214,3.037609435929105,24.480125242415923,0.4955027995399177,0.4471536382023482,0.995196406767344,0.9667225375558044,-0.12837882252901345,0.7264016203202475,0.3865648108039599,39.527310092079716,0.03366706899511241,6.720117729848185,0.7280685304539187,0.08580514023591848,79.05462018415943,4.52423074993272,57.24889176906392
1,LUNG1-002,1663.7257900266513,651190.9916526808,-11789.370251880418,296.05148148294865,22.331027716686908,0.856976752011528,2.445863728598051,2.767607647777768,16.03300174784224,0.5276157304110762,0.4832870244297396,0.9956940685949776,0.968821966848781,-0.19626698123983927,0.8616774239426268,0.4140514576111047,39.94077321257897,0.03127474948090165,6.751441597893592,0.867198725653536,0.07732392788772602,79.88154642515792,4.645989060820282,79.59562729990891
2,LUNG1-003,1391.2103172549055,321484.195597742,-6748.833253192686,285.6216155095751,51.02925336483299,0.6873698004516502,4.53844226652396,3.6470368309298875,29.26279783939772,0.37577597288814074,0.30535600290342274,0.9810495491171759,0.9235532951896237,-0.12362558870337319,0.7794964835227973,0.295602357111383,36.50150278786437,0.011280454800941659,8.2322456531761,0.7032789857131315,0.04057679015590258,73.00300557572874,5.289331021470916,84.16271721860204
3,LUNG1-004,1553.7488567872517,182065.93713067903,-3613.084312893473,118.59217317169018,19.952308221997463,0.7020544874190736,2.7557953585731476,3.032735994947068,12.055946369384673,0.4522512722404028,0.3877653515602229,0.9954782287391173,0.9616138094806335,-0.12412922587152443,0.7475756806688463,0.36228166325482114,39.1031292957392,0.019236803930649873,7.225940291579978,0.8761865733702743,0.05627794687312526,78.20625859147842,4.658469412372134,34.63612034842192
4,LUNG1-005,1811.7465205307467,308091.9237667199,-3715.4512846007065,133.22563156462172,30.960852949797506,0.5984772023989124,2.8494869530771774,2.960548735739855,22.607785439407888,0.4786697070452805,0.42187752938780093,0.9985909079347771,0.9817574043370636,-0.12307934928952319,0.7459600831050781,0.391762972749748,42.262251192890666,0.020291815054656992,7.016722762167286,0.7141573837597766,0.05599274270082666,84.52450238578135,4.619505158750558,41.04662112860482
5,LUNG1-006,1388.5923748434927,865367.7597179469,-13293.24825984593,552.1880797688948,92.13177257871385,0.7086858219622687,6.086046270316747,4.017893813603994,52.84928808284701,0.33921267000228544,0.268636117243024,0.9781352977557544,0.9188301225360793,-0.13791774418038327,0.8326584034775322,0.25877880436995554,35.6830761520075,0.0061584021010587155,9.248728287207221,0.7339511306713817,0.028522580222545463,71.366152304015,5.938303945336487,161.07996308690204
6,LUNG1-007,1009.9321744093679,65997.73629566192,-1864.8467336377735,122.34911059845739,41.52136755580833,0.47147739195894134,4.074355162800812,3.4976246465481613,23.645288264246737,0.416521059292918,0.3537632951812512,0.9761905825156171,0.9157921329384165,-0.1283694472725711,0.7402061766015252,0.300760703110614,31.45673904350389,0.017884621928249987,7.5174075150702455,0.5449095881567165,0.07448519449301283,62.91347808700779,4.930617911228273,40.96761953856644
7,LUNG1-008,1486.6336212983863,328782.19279305026,-6846.978389595151,228.5562059505968,46.36152042153014,0.6481273520761452,3.901581896179189,3.3642822537273647,30.375567838553124,0.4372500393155948,0.3792728182011445,0.9870985236388263,0.9425751710705359,-0.12098741791415688,0.7491875720330251,0.3515451565836508,37.95904555984402,0.02284905885190173,7.340588889560035,0.6810539006463967,0.07332646243522177,75.91809111968806,4.801639840699226,68.72943159303168
8,LUNG1-009,1784.7164732792962,267878.59885389806,-4733.898275173208,129.61144852724354,26.075510006515415,0.6555294150134225,3.017312117605596,3.116887837067878,16.676110993679245,0.4335917929616095,0.3650824589231244,0.9909878331160569,0.94865807422424,-0.09720256524144161,0.6843816489761028,0.3547097513170938,41.93790691410208,0.01822993500692593,7.149173907633591,0.6798451509325653,0.04946996963670886,83.87581382820419,4.571238799175685,38.921739633439756
9,LUNG1-010,1622.8538554253691,602943.759807844,-9526.880646213373,220.6131852103987,46.08214857065155,0.6423526397289289,3.6914737079744593,3.280699002462474,31.849113922468625,0.44221929750645717,0.38193254653373604,0.9843786787462587,0.9395526250022634,-0.14227966489595684,0.7955656804582707,0.3573090134353997,39.73796668644479,0.018221909113475324,7.24603771326258,0.7515762200243002,0.05165485624875689,79.4759333728896,4.764650658986714,66.67383344526257
